id,title,url,orig_caption,gen_caption,orig_sentiment,gen_sentiment,object_counts
16,Israel PM Netanyahu vows retaliation against Yemen's Huthis over airport attack,https://www.hindustantimes.com/world-news/israel-pm-netanyahu-vows-retaliation-against-yemens-huthis-over-airport-attack-101746370016559.html,Israeli Prime Minister Benjamin Netanyahu on Sunday vowed a multi-phased response to Yemen's Huthis.(AP),a man in a suit and tie speaking into a microphone,"{'label': 'POSITIVE', 'score': 0.9777506589889526}","{'label': 'NEGATIVE', 'score': 0.9266009330749512}","{'person': 1, 'tie': 1, 'umbrella': 1}"
17,Israel vows retaliation against Yemen's Houthis after Tel Aviv airport missile attack: ‘There'll be many bangs’,https://www.hindustantimes.com/world-news/israel-vows-retaliation-against-yemens-houthis-after-tel-aviv-airport-missile-attack-therell-be-many-bangs-101746376717670.html,"Israeli Prime Minister Benjamin Netanyahu speaks during the annual ceremony at the eve of Israel’s Remembrance Day for fallen soldiers (Yom HaZikaron) at the Yad LaBanim Memorial in Jerusalem, 29 April 2025 .(Reuters)",a man in a suit and tie giving a speech,"{'label': 'POSITIVE', 'score': 0.9915424585342407}","{'label': 'POSITIVE', 'score': 0.9808161854743958}","{'person': 1, 'tie': 1}"
18,"Tel Aviv: Air India, other airlines suspend flights after missile attack at airport",https://www.hindustantimes.com/world-news/tel-aviv-air-india-other-airlines-suspend-flights-after-missile-attack-at-airport-yemen-houthi-101746361803130.html,"People gather at the entrance of Ben Gurion Airport, following a missile attack launched from Yemen, in Tel Aviv, Israel May 4, 2025.(Reuters)",a police car is parked in front of a police station,"{'label': 'NEGATIVE', 'score': 0.85396808385849}","{'label': 'NEGATIVE', 'score': 0.9831310510635376}","{'person': 7, 'truck': 1}"
19,Nicaragua quits UNESCO over a press freedom award| What we know so far,https://www.hindustantimes.com/world-news/nicaragua-quits-unesco-over-a-press-freedom-award-what-we-know-so-far-101746387457707.html,"(FILE) UNESCO's World Press Freedom Prize was awarded on May 3, 2025, to the Nicaraguan newspaper La Prensa, the historic daily newspaper of this Central American country, whose editorial staff has been forced into exile by the government's ferocious repression.(AFP)",a man reading a newspaper while wearing headphones,"{'label': 'POSITIVE', 'score': 0.975728452205658}","{'label': 'NEGATIVE', 'score': 0.9707255363464355}","{'person': 3, 'book': 1}"
20,‘Will target…’: Iran responds to Israeli PM Benjamin Netanyahu's warning post Houthi airport attack,https://www.hindustantimes.com/world-news/will-target-iran-responds-to-israeli-pm-benjamin-netanyahus-warning-post-houthi-airport-attack-101746381798195.html,"Israeli emergency services clear a road outside Israel's Ben Gurion airport after a missile reportedly launched from Yemen struck near the facility on May 4, 2025.(AFP)",a man walking down a dirt road next to a construction site,"{'label': 'NEGATIVE', 'score': 0.9735825061798096}","{'label': 'NEGATIVE', 'score': 0.9932083487510681}","{'person': 5, 'frisbee': 1, 'truck': 1}"
21,What was Pope Francis’ final wish? Here's how late pontiff's popemobile will help children in Gaza,https://www.hindustantimes.com/world-news/us-news/what-was-pope-francis-final-wish-heres-how-late-pontiffs-popemobile-will-help-children-in-gaza-101746404733441.html,"How Pope Francis' popemobile will help children in Gaza (AP Photo/Bullit Marquez, File)(AP)",pope waving to the crowd,"{'label': 'POSITIVE', 'score': 0.978975236415863}","{'label': 'POSITIVE', 'score': 0.9969108700752258}","{'person': 3, 'boat': 1}"
22,Israel approves plans to intensify military operations in Gaza,https://www.hindustantimes.com/world-news/israel-approves-plans-to-intensify-military-operations-in-gaza-101746425551642.html,"Israeli Prime Minister Benjamin Netanyahu has blamed Hamas for ""remaining an obstacle"" in the face of a potential ceasefire deal in Gaza. (AP)",a man in a suit and tie,"{'label': 'NEGATIVE', 'score': 0.9796282649040222}","{'label': 'POSITIVE', 'score': 0.9932228326797485}","{'person': 1, 'tie': 1, 'chair': 1}"
23,Papal Conclave: What do Cardinals eat during Pope's election?,https://www.hindustantimes.com/world-news/inside-the-vatican-kitchen-meals-that-shape-a-papal-election-101746422110239.html,"Cardinals stay at the Domus Sanctae Marthae, a cosy and private Vatican hotel, during the conclave. They are offered intentionally simple and uncomplicated food. (REUTERS)",a group of people in red robes and white robes,"{'label': 'NEGATIVE', 'score': 0.9544288516044617}","{'label': 'NEGATIVE', 'score': 0.6061974763870239}","{'person': 13, 'cell phone': 2, 'book': 1}"
24,Conquest all of Gaza: Netanyahu's latest plan as Israel-Hamas war rages on,https://www.hindustantimes.com/world-news/conquest-all-of-gaza-netanyahus-latest-plan-as-israel-hamas-war-rages-on-101746436766656.html,"Israeli Prime Minister Benjamin Netanyahu approved plan including Gaza ""conquest"" (AP)",a man in a suit and tie giving a speech,"{'label': 'POSITIVE', 'score': 0.982666015625}","{'label': 'POSITIVE', 'score': 0.9808161854743958}","{'person': 1, 'tie': 1}"
25,All the popes before Pope Francis | Complete list through history,https://www.hindustantimes.com/world-news/all-the-popes-before-pope-francis-complete-list-through-history-101746437542468.html,"Pope Francis was taken to Gemelli Hospital in Rome during a severe breathing issue, which developed into double pneumonia. (AP)",pope benedict waves as he arrives for his weekly general audience at the vatican vatican vatican vatican vatican vatican vatican,"{'label': 'NEGATIVE', 'score': 0.9959457516670227}","{'label': 'POSITIVE', 'score': 0.990037202835083}",{'person': 1}
26,Freed Israeli hostage accuses Tel Aviv fitness influencer of raping her: ‘It happened to me after captivity’,https://www.hindustantimes.com/world-news/us-news/freed-israeli-hostage-accuses-tel-aviv-fitness-influencer-of-raping-her-it-happened-to-me-after-captivity-101746447596771.html,"Freed hostage Mia Schem attended Elton John AIDS Foundation's 32nd Annual Academy Awards Viewing Party on March 10, 2024 in West Hollywood, California (Anna Webber / GETTY IMAGES NORTH AMERICA / Getty Images via AFP)",a woman with long hair and a white dress,"{'label': 'NEGATIVE', 'score': 0.7222509980201721}","{'label': 'POSITIVE', 'score': 0.9921340942382812}",{'person': 1}
28,Israel seeks seizing Gaza under new plan approved by Netanyahu's cabinet,https://www.hindustantimes.com/world-news/israel-seeks-seizing-gaza-under-new-plan-approved-by-netanyahus-cabinet-101746464585082.html,"Netanyahu said in a video message the operation would be ""intensive"" and would see more Palestinians in Gaza moved ""for their own safety"".(Reuters)",a man in a suit and tie sitting in a chair,"{'label': 'NEGATIVE', 'score': 0.995387852191925}","{'label': 'POSITIVE', 'score': 0.9034292697906494}","{'person': 1, 'tie': 1}"
29,Was Greta Thunberg onboard the Gaza-bound ship targeted by alleged Israeli drone strike?,https://www.hindustantimes.com/world-news/us-news/was-greta-thunberg-onboard-the-gaza-bound-ship-targeted-by-alleged-israeli-drone-strike-101746455896138.html,"Greta Thunberg confirmed in her statement that she was not on the Gaza-bound ship, which she was supposed to board.(Bloomberg)",a woman with a camera in her hand,"{'label': 'NEGATIVE', 'score': 0.9770355224609375}","{'label': 'NEGATIVE', 'score': 0.5744866132736206}",{'person': 5}
30,Pulitzer Prize 2025: Full list of winners in journalism categories,https://www.hindustantimes.com/world-news/pulitzer-prize-2025-full-list-of-winners-in-journalism-categories-101746475919052.html,"Reuters journalist Maurice Tasman holding his grandson Levi, Global Enterprise Editor Mike Williams and Senior Photographer Shannon Stapleton toast together after the Reuters staff was awarded a Pulitzer Prize in the Investigative Reporting category.(REUTERS)",a group of people standing around a table,"{'label': 'POSITIVE', 'score': 0.9958480596542358}","{'label': 'POSITIVE', 'score': 0.9390222430229187}","{'person': 6, 'handbag': 1}"
31,Israel confirms strikes on Yemen port a day after Houthi airport attack in Tel Aviv,https://www.hindustantimes.com/world-news/israel-confirms-strikes-on-yemen-port-a-day-after-houthi-airport-attack-in-tel-aviv-101746470505819.html,"An Israeli police officer investigates a crater at the site of a missile attack, launched from Yemen, near Ben Gurion Airport, in Tel Aviv, Israel May 4, 2025.(REUTERS)",a man is digging a field of red mulch,"{'label': 'NEGATIVE', 'score': 0.8666010499000549}","{'label': 'NEGATIVE', 'score': 0.9891830682754517}",{'person': 1}
32,Israel’s radical new course in Gaza,https://www.hindustantimes.com/world-news/israels-radical-new-course-in-gaza-101746496192993.html,"Israeli Prime Minister Benjamin Netanyahu approved plan including Gaza ""conquest"" (AP)",a man in a suit and tie giving a speech,"{'label': 'POSITIVE', 'score': 0.982666015625}","{'label': 'POSITIVE', 'score': 0.9808161854743958}","{'person': 1, 'tie': 1}"
33,Trump vs Harvard: University funding blocked until it meets US government's demands,https://www.hindustantimes.com/world-news/us-news/trump-vs-harvard-university-funding-blocked-until-it-meets-us-governments-demands-101746493268572.html,"Signage for the division of continuing education at the Harvard University campus in Cambridge, Massachusetts, US, on Monday, May 5, 2025. (Bloomberg)",harvard university ' s campus sign,"{'label': 'NEGATIVE', 'score': 0.9640567898750305}","{'label': 'POSITIVE', 'score': 0.7256366014480591}",{}
34,Why does Donald Trump want to reopen notorious island prison Alcatraz?,https://www.hindustantimes.com/world-news/us-news/why-does-donald-trump-want-to-reopen-notorious-island-prison-alcatraz-101746496472372.html,"A view from a helicopter of Alcatraz Prison, a National Parks site located on Alcatraz Island in San Francisco Bay in San Francisco, California, U.S. May 5, 2025.(REUTERS)",a large body of water,"{'label': 'POSITIVE', 'score': 0.9906847476959229}","{'label': 'POSITIVE', 'score': 0.9989774227142334}",{'boat': 1}
35,‘Either we live or no one will…’: Pakistan defence minister issues doomsday warning,https://www.hindustantimes.com/world-news/either-we-live-or-no-one-will-pakistan-defence-minister-issues-doomsday-warning-india-pahalgam-101746533121829.html,Khawaja Asif had claimed that India could launch a military strike along the Line of Control in Kashmir at any time. (X/@thethirdeyereal),two men sitting down on a tv set,"{'label': 'NEGATIVE', 'score': 0.9785191416740417}","{'label': 'NEGATIVE', 'score': 0.9964776635169983}","{'person': 2, 'tie': 2}"
36,Israel fires on Yemen's Sanaa airport as tensions with Houthis intensify,https://www.hindustantimes.com/world-news/israel-fires-on-yemens-sanaa-airport-as-tensions-with-houthis-intensify-101746543914915.html,"Smoke billows after Israel struck a power station and Sanaa International Airport, in Sanaa, Yemen May 6, 2025.(REUTERS)",a large black cloud,"{'label': 'NEGATIVE', 'score': 0.9752452373504639}","{'label': 'NEGATIVE', 'score': 0.9676334857940674}",{}
37,"Donald Trump announces halt in Houthi ship attacks, US ceases bombing in Yemen",https://www.hindustantimes.com/world-news/donald-trump-announces-halt-in-houthi-ship-attacks-us-ceases-bombing-in-yemen-101746550867198.html,Trump has said he wants an agreement that curbs Iran’s nuclear program and prevents it from making an atomic weapon.(AP),a man in a suit and tie is making a funny face,"{'label': 'NEGATIVE', 'score': 0.9957684278488159}","{'label': 'POSITIVE', 'score': 0.9997339844703674}","{'person': 1, 'tie': 1}"
38,Conclave to pick new pope begins on May 7. But who are the antipopes?,https://www.hindustantimes.com/world-news/conclave-to-pick-new-pope-begins-on-may-7-but-who-are-the-antipopes-101746540956585.html,Antipope caused a lot of confusion because of which Church was split for almost 40 years(REUTERS),a large building with a dome,"{'label': 'NEGATIVE', 'score': 0.9985766410827637}","{'label': 'POSITIVE', 'score': 0.9985418319702148}",{'traffic light': 1}
39,Columbia University lays off nearly 180 researchers due to Trump funding cuts,https://www.hindustantimes.com/world-news/us-news/columbia-university-lays-off-nearly-180-researchers-due-to-trump-funding-cuts-101746554639183.html,Columbia University lays off nearly 180 researchers due to Trump funding cuts,a group of people walking around a city,"{'label': 'NEGATIVE', 'score': 0.9738045930862427}","{'label': 'POSITIVE', 'score': 0.9978571534156799}","{'person': 12, 'backpack': 1}"
40,US reviews occupation of University of Washington building by pro-Palestinian protesters,https://www.hindustantimes.com/world-news/us-news/us-reviews-occupation-of-university-of-washington-building-by-pro-palestinian-protesters-101746583860277.html,US reviews occupation of University of Washington building by pro-Palestinian protesters,"times square, new york, ny","{'label': 'NEGATIVE', 'score': 0.9199883341789246}","{'label': 'POSITIVE', 'score': 0.9985264539718628}","{'person': 10, 'traffic light': 2}"
41,"Trump says three hostages held by Hamas have died, 21 remain",https://www.hindustantimes.com/world-news/us-news/trump-says-three-hostages-held-by-hamas-have-died-21-remain-101746588895470.html,"US President Donald Trump speaks during a FIFA Task Force meeting in the East Room of the White House in Washington, DC, US, on Tuesday, May 6, 2025. Photographer: Francis Chung/Politico/Bloomberg(Bloomberg)",president donald trump speaks at a press conference,"{'label': 'POSITIVE', 'score': 0.9897183179855347}","{'label': 'POSITIVE', 'score': 0.9875782132148743}","{'person': 1, 'tie': 1, 'cup': 1, 'sports ball': 1}"
42,"UAE mediating secret talks between Israel and Syria, sources say",https://www.hindustantimes.com/world-news/uae-mediating-secret-talks-between-israel-and-syria-sources-say-101746617755324.html,"UAE mediating secret talks between Israel and Syria, sources say",a group of people walking around a city,"{'label': 'NEGATIVE', 'score': 0.9516252279281616}","{'label': 'POSITIVE', 'score': 0.9978571534156799}","{'person': 12, 'backpack': 1}"
44,Bill Gates accuses Elon Musk of ‘killing children’; warns about global disaster,https://www.hindustantimes.com/world-news/bill-gates-accuses-elon-musk-of-killing-children-warns-about-global-disaster-101746713691074.html,Bill Gates makes explosive remarks about Elon Musk. (Reuters),a man with glasses and a hat next to a man with glasses,"{'label': 'POSITIVE', 'score': 0.9622209668159485}","{'label': 'NEGATIVE', 'score': 0.6932203769683838}",{'person': 2}
45,Red Cross appeals to governments to act now to end Gaza 'horror',https://www.hindustantimes.com/world-news/red-cross-appeals-to-governments-to-act-now-to-end-gaza-horror-101746715743607.html,Red Cross appeals to governments to act now to end Gaza 'horror',a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9830370545387268}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}"
46,Trump to Keir Starmer: How world leaders congratulated the new pope,https://www.hindustantimes.com/world-news/trump-to-keir-starmer-how-world-leaders-congratulated-the-new-pope-101746737539473.html,"Newly elected Pope Leo XIV, Robert Prevost(AFP)","pope benedict, left, and archbishop benedict, right, pray during the mass at the vatican ' s","{'label': 'POSITIVE', 'score': 0.9882158041000366}","{'label': 'POSITIVE', 'score': 0.9876486659049988}",{'person': 3}
47,Rümeysa Öztürk case: When will Tufts student be released from ICE detention? Judge says…,https://www.hindustantimes.com/world-news/rmeysa-zt-rk-case-update-when-will-tufts-university-student-be-released-from-ice-detention-judge-says-101746812285051.html,"Rumeysa Ozturk, a Turkish doctoral student at Tufts University in Somerville, Massachusetts(via REUTERS)",a woman sitting at a table with a laptop,"{'label': 'POSITIVE', 'score': 0.5329014658927917}","{'label': 'NEGATIVE', 'score': 0.9746249914169312}",{'person': 1}
48,Why is Johnny Somali facing 31-year prison sentence in South Korea? Full list of charges explained,https://www.hindustantimes.com/world-news/why-is-johnny-somali-facing-31-year-prison-sentence-in-south-korea-full-list-of-charges-explained-101746866895665.html,"Streamer Johnny Somali is under investigation in South Korea with new sex crime charges, potentially facing 31 years in prison.(@johnnysomalia/ Instagram)",a man with glasses and a tie around his neck,"{'label': 'NEGATIVE', 'score': 0.9758056402206421}","{'label': 'POSITIVE', 'score': 0.6485839486122131}","{'person': 1, 'cup': 1}"
49,"Trump lauded India-Pakistan ceasefire, but remains ‘frustrated’ with Ukraine-Russia deal",https://www.hindustantimes.com/world-news/trump-lauded-india-pakistan-ceasefire-but-remains-frustrated-with-ukraine-russia-deal-101746899921228.html,Donald Trump lauded the ceasefire deal between India and Pakistan(REUTERS),a man in a suit and tie signing a document,"{'label': 'POSITIVE', 'score': 0.998931348323822}","{'label': 'POSITIVE', 'score': 0.9500557780265808}","{'person': 5, 'tie': 1, 'cake': 1, 'dining table': 1, 'chair': 1}"
50,"Edan Alexander's family reacts to Hamas release; Trump thanks Qatar, omits Israel",https://www.hindustantimes.com/world-news/us-news/edan-alexanders-family-reacts-to-hamas-release-trump-thanks-qatar-omits-israel-101747004160276.html,Edan Alexander will be released by Hamas(AFP),a man in a black shirt is shown in a video,"{'label': 'NEGATIVE', 'score': 0.9719433784484863}","{'label': 'NEGATIVE', 'score': 0.988857090473175}",{'person': 1}
51,Hamas to release Israeli-American hostage Edan Alexander after 580+ days,https://www.hindustantimes.com/world-news/hamas-to-release-israeli-american-hostage-edan-alexander-after-580-days-101746996010846.html,"This handout picture provided by the Hostages and Missing Families Forum Headquarters shows an image grab from a video released by Hamas's armed wing Ezzedine al-Qassam Brigades on April 12, 2025, of Israeli hostage Edan Alexander, held in the Gaza Strip since the October 2023 attacks by Hamas on Israel.(AFP file)",a screen shot of a man in a dark room,"{'label': 'NEGATIVE', 'score': 0.9942770600318909}","{'label': 'NEGATIVE', 'score': 0.8843971490859985}",{'person': 1}
52,Hamas Says It Will Release Last U.S. Hostage from Gaza,https://www.hindustantimes.com/world-news/hamas-says-it-will-release-last-u-s-hostage-from-gaza-101747014426155.html,Hamas Says It Will Release Last U.S. Hostage from Gaza,a man in a white hat and a man in a black shirt,"{'label': 'NEGATIVE', 'score': 0.5906731486320496}","{'label': 'NEGATIVE', 'score': 0.8419123291969299}",{'person': 6}
53,Israel asks ICC judges to withdraw Netanyahu arrest warrant,https://www.hindustantimes.com/world-news/israel-asks-icc-judges-to-withdraw-netanyahu-arrest-warrant-101747043254411.html,Israel asks ICC judges to withdraw Netanyahu arrest warrant,a street scene with a cafe and a bicycle,"{'label': 'NEGATIVE', 'score': 0.9864393472671509}","{'label': 'POSITIVE', 'score': 0.9897415637969971}","{'bicycle': 1, 'person': 3, 'chair': 7, 'dining table': 2}"
54,"Steve Witkoff makes bombshell statement ahead of Edan Alexander's release; ‘We want to bring hostages home, but…’",https://www.hindustantimes.com/world-news/us-news/steve-witkoff-makes-bombshell-statement-ahead-of-edan-alexanders-release-we-want-to-bring-hostages-home-but-101747047143462.html,"Steve Witkoff, who was in Oman to hold the fourth round of nuclear talks with Iran on Sunday, was scheduled to take a separate flight to Israel.(Reuters)",a man in a suit and tie looks off to the side,"{'label': 'NEGATIVE', 'score': 0.9156360626220703}","{'label': 'NEGATIVE', 'score': 0.5233569741249084}",{'person': 1}
55,Hamas releases Israeli-American soldier after 19 months in captivity,https://www.hindustantimes.com/world-news/hamas-releases-israeli-american-soldier-after-19-months-in-captivity-101747066802494.html,"People watch a live broadcast of Israeli-American soldier Edan Alexander as he is released from Hamas captivity in Gaza, at a plaza known as the hostages square in Tel Aviv, Monday, May 12, 2025. (AP)",a man holding a sign with a picture of a woman,"{'label': 'NEGATIVE', 'score': 0.7566007971763611}","{'label': 'NEGATIVE', 'score': 0.9506258964538574}",{'person': 10}
56,Edan Alexander flanked by 3 armed and masked Hamas terrorists during his release: See photo,https://www.hindustantimes.com/world-news/us-news/edan-alexander-flanked-by-3-armed-and-masked-hamas-terrorists-during-his-release-see-photo-101747067597950.html,American-Israeli hostage Edan Alexander released by Hamas(X@HenMazzig),a group of people in red and black outfits,"{'label': 'NEGATIVE', 'score': 0.9854333996772766}","{'label': 'POSITIVE', 'score': 0.9141950607299805}",{'person': 5}
57,"Edan Alexander released: Trump, Netanyahu react as ‘last living American hostage in Gaza’ freed from Hamas captivity",https://www.hindustantimes.com/world-news/us-news/edan-alexander-released-trump-netanyahu-react-as-last-living-american-hostage-in-gaza-freed-from-hamas-captivity-101747069167555.html,"Edan Alexander released: Israelis celebrate the release of American-Israeli hostage in Tel Aviv, Israel, on Monday, May 12, 2025. (Bloomberg)",a group of people holding up pictures of the same people,"{'label': 'POSITIVE', 'score': 0.9913464188575745}","{'label': 'NEGATIVE', 'score': 0.9789422750473022}",{'person': 14}
58,Syria's Sharaa skips Iraq summit after firestorm over invitation,https://www.hindustantimes.com/world-news/syrias-sharaa-skips-iraq-summit-after-firestorm-over-invitation-101747083520784.html,Syria's Sharaa skips Iraq summit after firestorm over invitation,travel concept with famous landmarks and famous monuments of the world,"{'label': 'NEGATIVE', 'score': 0.9990493655204773}","{'label': 'POSITIVE', 'score': 0.9997450709342957}","{'airplane': 2, 'person': 1}"
60,Israeli-American Edan Alexander hugs his parents after 19 months in Hamas custody | Watch video,https://www.hindustantimes.com/world-news/us-news/israeliamerican-edan-alexander-hugs-his-parents-after-19-months-in-hamas-custody-watch-video-101747078850274.html,"Israelis celebrate the release of American-Israeli hostage Edan Alexander in Tel Aviv, Israel, on Monday, May 12, 2025. Hamas freed Alexander on Monday in a hastily announced move ahead of US President Donald Trump's visit to the Middle East.(Bloomberg)",a group of people holding up pictures of themselves,"{'label': 'NEGATIVE', 'score': 0.9400584697723389}","{'label': 'POSITIVE', 'score': 0.9016318917274475}",{'person': 13}
61,"Arms, AI, and airspace: Trump begins Middle East visit eyeing big deals",https://www.hindustantimes.com/world-news/us-news/trump-begins-middle-east-visit-eyeing-big-deals-in-arms-ai-and-airspace-101747110538091.html,US President Donald Trump is travelling to the Middle East(AFP),president donald trump and vice bider,"{'label': 'POSITIVE', 'score': 0.9665006399154663}","{'label': 'POSITIVE', 'score': 0.9916070699691772}","{'person': 5, 'tie': 1}"
